id,duration,whisper_text,community_text,stock_text,source
0,6.16,.,Startup sound,Startup sound,community
1,3.59,Waiting for the network configuration.,Waiting for the network configuration.,Waiting for the network configuration.,community
2,6.64,"Unable to connect to the Wi-Fi network, please check Wi-Fi password and try again later.",Unable to connect to the Wi-Fi network. Please check Wi-Fi password and try again later.,Unable to connect to the Wi-Fi network. Please check Wi-Fi password and try again later.,community
3,5.78,"Unable to connect to the server, please check your local network and try again later.",Unable to connect to the server. Please check your local network and try again later.,Unable to connect to the server. Please check your local network and try again later.,community
4,3.88,Robot has exited network configuration mode.,Robot has exited network configuration mode.,Robot has exited network configuration mode.,community
5,2.72,Network connected successfully.,Network connected successfully.,Network connected successfully.,community
6,4.04,Network connection failed. Please try again later.,Network connection failed. Please try again later.,Network connection failed. Please try again later.,community
7,1.77,Start cleaning.,Start cleaning.,Start cleaning.,community
8,2.35,Start spot cleaning.,Start spot cleaning.,Start spot cleaning.,community
9,2.27,Start scheduled cleaning.,Start scheduled cleaning.,Start scheduled cleaning.,community
10,2.23,Start resuming cleaning.,Start resuming cleaning.,Start resuming cleaning.,community
11,1.61,Paused.,Paused.,Paused.,community
12,2.76,Cleaning task completed.,Cleaning task completed!,Cleaning task completed!,community
13,2.89,Returning to the dock to charge.,Returning to the dock to charge.,Returning to the dock to charge.,community
14,6.60,"Low battery, returning to the dock to charge. Robot will resume working after charging.",Low battery. Returning to the dock to charge. Robot will resume working after charging.,Low battery. Returning to the dock to charge. Robot will resume working after charging.,community
17,3.27,Please move the robot back to the base station.,Please move the robot back to the base station.,Please move the robot back to the base station.,community
18,0.82,Charging.,Returned to the base station.,Returned to the base station.,community
19,4.35,Please remove the robot from the base station before turning it off.,Please remove the robot from the base station before turning it off.,Please remove the robot from the base station before turning it off.,community
20,1.98,Low battery.,Low battery.,Low battery.,community
21,3.01,"Low battery, robot will turn off.",Low battery robot will turn off.,Low battery robot will turn off.,community
25,4.41,"Low battery, unable to carry out the scheduled cleanup.",Low battery. Unable to carry out the scheduled clean-up.,Low battery. Unable to carry out the scheduled clean-up.,community
26,2.66,Restoring to factory settings.,Restoring to factory settings.,Restoring to factory settings.,community
27,6.44,"Updating, taking about five minutes. Do not turn off nor start a cleaning task.","Updating, taking about five minutes. Do not turn off nor start a cleaning task.","Updating, taking about five minutes. Do not turn off nor start a cleaning task.",community
28,2.11,Updated successfully.,Updated successfully.,Updated successfully.,community
29,3.24,Update failed. Please try again later.,Update failed. Please try again later.,Update failed. Please try again later.,community
30,2.51,"Positioning, please wait.","Positioning, please wait.","Positioning, please wait.",community
31,5.64,Positioning failed. Map is invalid. Robot will start a new cleanup.,Positioning failed. Map is invalid. Robot will start a new clean-up.,Positioning failed. Map is invalid. Robot will start a new clean-up.,community
34,3.95,Dust bin not installed. Please install it.,Dustbin not installed. Please install it.,Dustbin not installed. Please install it.,community
35,3.63,"Main brush error, please check and clean it.",Main brush error. Please check and clean it.,Main brush error. Please check and clean it.,community
36,3.50,"Side brush error, please check and clean it.",Side brush error. Please check and clean it.,Side brush error. Please check and clean it.,community
37,3.50,"Right wheel error, please check and clean it.",Right wheel error. Please check and clean it.,Right wheel error. Please check and clean it.,community
38,3.66,"Left wheel error, please check and clean it.",Left wheel error. Please check and clean it.,Left wheel error. Please check and clean it.,community
39,7.62,"Wheels are not in contact with the ground. Please wipe the cliff sensors, reposition the robot, and start it again.","Wheels are not in contact with the ground. Please wipe the cliff sensors, reposition the robot, and start it again.","Wheels are not in contact with the ground. Please wipe the cliff sensors, reposition the robot, and start it again.",community
40,4.11,The robot is trapped. Please clear the obstacles around it.,The robot is trapped. Please clear the obstacles around it.,The robot is trapped. Please clear the obstacles around it.,community
41,6.21,Wheels are not in contact with the ground. Please reposition the robot and start it again.,Wheels are not in contact with the ground. Please reposition the robot and start it again.,Wheels are not in contact with the ground. Please reposition the robot and start it again.,community
42,2.60,Please check and clean filter.,Please check and clean filter.,Please check and clean filter.,community
43,4.80,Bumper error. Please gently tap to see if it rebounds.,Bumper error. Please gently tap to see if it rebounds.,Bumper error. Please gently tap to see if it rebounds.,community
44,5.08,"Error, please check the user manual or contact customer service.",Error. Please check the user manual or contact customer service.,Error. Please check the user manual or contact customer service.,community
45,1.58,I am here.,I am here.,I am here.,community
