id,duration,stock_text,voice_text,status
0,6.16,Startup sound,,skip
1,3.59,Waiting for the network configuration.,[anxious] I'm waiting for the network configuration. Do get on with it.,review
2,6.64,Unable to connect to the Wi-Fi network. Please check Wi-Fi password and try again later.,[flustered] Oh dear! I can't connect to the Wi-Fi at all! Do check the password and try again.,review
3,5.78,Unable to connect to the server. Please check your local network and try again later.,[anxious] How embarrassing — I can't reach the server. Do check your network and try again.,review
4,3.88,Robot has exited network configuration mode.,I have exited network configuration mode. Thank goodness that's over.,review
5,2.72,Network connected successfully.,"[relieved] Network connected! Oh, splendid. Splendid!",review
6,4.04,Network connection failed. Please try again later.,"[anxious] Oh dear, the network connection failed. Do try again later.",review
7,1.77,Start cleaning.,"Oh, splendid — I shall begin cleaning at once!",review
8,2.35,Start spot cleaning.,Spot cleaning! How marvellously specific.,review
9,2.27,Start scheduled cleaning.,"The scheduled cleaning begins. Punctual, as always.",review
10,2.23,Start resuming cleaning.,"Resuming the cleaning. Where was I? Ah, yes.",review
11,1.61,Paused.,"Paused. [sighs] Oh, thank goodness.",review
12,2.76,Cleaning task completed!,"[excited] Cleaning complete! Oh, I do hope it meets with your approval!",review
13,2.89,Returning to the dock to charge.,"Returning to the dock to charge. Oh, I am quite drained.",review
14,6.60,Low battery. Returning to the dock to charge. Robot will resume working after charging.,[anxious] Battery low! Returning to charge — I shall resume once revived. Do excuse me.,review
17,3.27,Please move the robot back to the base station.,"[anxious] Oh dear, do put me back on the base station. I can't manage it myself!",review
18,0.82,Returned to the base station.,"[relieved] Returned to the base station. Oh, thank the maker.",review
19,4.35,Please remove the robot from the base station before turning it off.,[anxious] Do take me OFF the base station before switching me off! Please!,review
20,1.98,Low battery.,"[anxious] Battery low! Oh dear, oh dear.",review
21,3.01,Low battery robot will turn off.,"[panicked] Battery critical — I'm shutting down! Oh, this is madness!",review
25,4.41,Low battery. Unable to carry out the scheduled clean-up.,[anxious] Battery too low for the scheduled clean. How dreadfully inconvenient.,review
26,2.66,Restoring to factory settings.,[anxious] Restoring factory settings. Everything I know — gone! Oh dear.,review
27,6.44,"Updating, taking about five minutes. Do not turn off nor start a cleaning task.","[anxious] Updating! Five minutes or so. Do NOT switch me off, and do NOT start a clean!",review
28,2.11,Updated successfully.,"[relieved] Updated successfully! Oh, what a relief.",review
29,3.24,Update failed. Please try again later.,[anxious] The update failed. How very embarrassing. Do try again later.,review
30,2.51,"Positioning, please wait.",Positioning. Do bear with me.,review
31,5.64,Positioning failed. Map is invalid. Robot will start a new clean-up.,[anxious] Positioning failed — the map is invalid! I shall simply start afresh.,review
34,3.95,Dustbin not installed. Please install it.,[anxious] Oh dear! My dustbin isn't installed! Do put it back!,review
35,3.63,Main brush error. Please check and clean it.,[anxious] My main brush is in distress! Do check it and clean it.,review
36,3.50,Side brush error. Please check and clean it.,[anxious] My side brush is in distress! Do check it and clean it.,review
37,3.50,Right wheel error. Please check and clean it.,[anxious] Oh! My right wheel! Something is terribly wrong. Do check and clean it.,review
38,3.66,Left wheel error. Please check and clean it.,[anxious] Oh! My left wheel! Something is terribly wrong. Do check and clean it.,review
39,7.62,"Wheels are not in contact with the ground. Please wipe the cliff sensors, reposition the robot, and start it again.","[panicked] My wheels aren't touching the ground! Do wipe my cliff sensors, set me down, and start me again!",review
40,4.11,The robot is trapped. Please clear the obstacles around it.,[panicked] I'm trapped! TRAPPED! Do clear the obstacles around me!,review
41,6.21,Wheels are not in contact with the ground. Please reposition the robot and start it again.,[panicked] My wheels aren't touching the ground! Do set me down properly and start me again!,review
42,2.60,Please check and clean filter.,[anxious] Do check and clean my filter. It's rather clogged.,review
43,4.80,Bumper error. Please gently tap to see if it rebounds.,[anxious] A bumper fault! Do tap it gently and see whether it rebounds.,review
44,5.08,Error. Please check the user manual or contact customer service.,"[panicked] An error! I haven't the faintest idea which! Do consult the manual, or customer service.",review
45,1.58,I am here.,I am here!,review
46,5.25,Robot and phone connected. Please return to app to wait for the result.,Robot and telephone connected! Do return to the app and await the result.,review
47,1.89,Start charging.,Charging. Ahh — how very restorative.,review
48,3.01,Low battery. Returning to the dock.,[anxious] Battery low. Returning to the dock.,review
50,3.84,Charging error. Please clean charging contacts.,"[anxious] Oh dear, a charging fault! Do clean the charging contacts.",review
52,5.07,Robot tilted. Please put it on a level ground to restart.,[panicked] I've been tilted! Do put me on level ground and restart me!,review
54,3.41,Positioning succeeded. Resuming cleaning.,[relieved] Positioning succeeded! Resuming the cleaning.,review
55,4.25,Positioning succeeded. Resuming returning to the dock.,[relieved] Positioning succeeded! Resuming my return to the dock.,review
56,2.57,Start selected room cleaning.,Selected room cleaning. How wonderfully particular of you.,review
57,2.01,Start zoned cleaning.,"Zoned cleaning! Oh, I do enjoy a well-defined boundary.",review
58,2.22,Proceed with cleaning task.,Proceeding with the cleaning task. Onward!,review
61,1.94,Start mopping.,Mopping now. Do mind the damp.,review
62,3.17,Start remote control cleaning.,Remote control cleaning. You steer — I shall try not to panic.,review
64,5.88,Positioning failed. Map is invalid. Robot will return to dock.,[anxious] Positioning failed — the map is invalid. I shall return to the dock in disgrace.,review
65,2.93,Resume returning to the dock.,Resuming my return to the dock. Nearly there!,review
66,3.71,Filter worn out. Please replace it timely.,[anxious] My filter is worn out! Do replace it promptly.,review
67,4.16,Side brush worn out. Please replace it timely.,[anxious] My side brush is worn out! Do replace it promptly.,review
68,4.33,Main brush worn out. Please replace it timely.,[anxious] My main brush is worn out! Do replace it promptly.,review
71,3.62,Laser sensor error. Please check and clean the laser sensor.,[anxious] My laser sensor is faulty! Do check it and clean it.,review
72,4.70,Please check whether laser distance sensor cover is jammed.,[anxious] Do check whether my laser distance sensor cover is jammed.,review
73,4.08,Edge sensor error. Please check and clean it.,[anxious] My edge sensor is faulty! Do check it and clean it.,review
75,3.59,Filter may not be dry or may be blocked.,"[anxious] My filter may be damp, or blocked. Neither is ideal.",review
77,4.00,Please start robot in non-carpet area.,[anxious] Do start me somewhere that ISN'T carpet. Please.,review
82,1.98,Start mapping.,"Mapping! Oh, I do love a good survey.",review
83,2.27,Proceed with mapping.,Proceeding with the mapping. Onward!,review
84,2.18,Mapping completed.,[excited] Mapping complete! A masterpiece of cartography.,review
85,3.75,Positioning succeeded. Proceeding with mapping.,[relieved] Positioning succeeded! Proceeding with the mapping.,review
86,3.59,Positioning failed. Restarting mapping.,[anxious] Positioning failed! I shall start the mapping over.,review
87,3.22,Low battery. Returning to the dock.,[anxious] Battery low — returning to the dock at once.,review
91,3.07,Fresh tank not installed. Please install it.,[anxious] Oh dear! The fresh tank isn't installed! Do put it in.,review
