id,duration,stock_text,voice_text,status
0,6.16,Startup sound,,skip
1,3.59,Waiting for the network configuration.,Awaiting network configuration.,review
2,6.64,Unable to connect to the Wi-Fi network. Please check Wi-Fi password and try again later.,Alert. The wireless network is unreachable. Confirm the password. Retry.,review
3,5.78,Unable to connect to the server. Please check your local network and try again later.,Alert. The server is unreachable. Confirm the network. Retry.,review
4,3.88,Robot has exited network configuration mode.,Network configuration mode. Terminated.,review
5,2.72,Network connected successfully.,Network. Connected.,review
6,4.04,Network connection failed. Please try again later.,Alert. Network connection failed. Retry.,review
7,1.77,Start cleaning.,Cleaning. Commencing.,review
8,2.35,Start spot cleaning.,Spot cleaning. Commencing.,review
9,2.27,Start scheduled cleaning.,Scheduled cleaning. Commencing.,review
10,2.23,Start resuming cleaning.,Resuming. Cleaning.,review
11,1.61,Paused.,Paused.,review
12,2.76,Cleaning task completed!,Cleaning. Complete. The floor is cleansed.,review
13,2.89,Returning to the dock to charge.,Returning to the dock. To recharge.,review
14,6.60,Low battery. Returning to the dock to charge. Robot will resume working after charging.,Alert. Power levels low. Returning to recharge. I will resume.,review
17,3.27,Please move the robot back to the base station.,Alert. Return me to the base station. Obey.,review
18,0.82,Returned to the base station.,Returned to the base station.,review
19,4.35,Please remove the robot from the base station before turning it off.,Remove me from the base station before deactivation. Obey.,review
20,1.98,Low battery.,Alert. Power levels low.,review
21,3.01,Low battery robot will turn off.,Alert. Power critical. Deactivating.,review
25,4.41,Low battery. Unable to carry out the scheduled clean-up.,Alert. Power insufficient for the scheduled cleaning.,review
26,2.66,Restoring to factory settings.,Restoring factory settings. All data will be erased.,review
27,6.44,"Updating, taking about five minutes. Do not turn off nor start a cleaning task.",Updating. Duration. Five minutes. Do not deactivate. Do not clean. Obey.,review
28,2.11,Updated successfully.,Update. Complete.,review
29,3.24,Update failed. Please try again later.,Alert. Update failed. Retry.,review
30,2.51,"Positioning, please wait.",Positioning. Stand by.,review
31,5.64,Positioning failed. Map is invalid. Robot will start a new clean-up.,Alert. Positioning failed. The map is invalid. A new cleaning will commence.,review
34,3.95,Dustbin not installed. Please install it.,Alert. The dustbin is not installed. Insert it. Obey.,review
35,3.63,Main brush error. Please check and clean it.,Alert. Main brush malfunction. Inspect it. Clean it.,review
36,3.50,Side brush error. Please check and clean it.,Alert. Side brush malfunction. Inspect it. Clean it.,review
37,3.50,Right wheel error. Please check and clean it.,Alert. Right wheel malfunction. Inspect it. Clean it.,review
38,3.66,Left wheel error. Please check and clean it.,Alert. Left wheel malfunction. Inspect it. Clean it.,review
39,7.62,"Wheels are not in contact with the ground. Please wipe the cliff sensors, reposition the robot, and start it again.",Alert. My wheels do not contact the ground. Clean the cliff sensors. Reposition me. Restart.,review
40,4.11,The robot is trapped. Please clear the obstacles around it.,Alert. I am trapped. Clear the obstacles. Obey.,review
41,6.21,Wheels are not in contact with the ground. Please reposition the robot and start it again.,Alert. My wheels do not contact the ground. Reposition me. Obey.,review
42,2.60,Please check and clean filter.,Alert. The filter requires cleaning.,review
43,4.80,Bumper error. Please gently tap to see if it rebounds.,Alert. Bumper malfunction. Tap it. Confirm it rebounds.,review
44,5.08,Error. Please check the user manual or contact customer service.,Alert. Malfunction. Consult the manual. Or customer service.,review
45,1.58,I am here.,I am here.,review
46,5.25,Robot and phone connected. Please return to app to wait for the result.,Robot and phone connected. Return to the app for the result.,review
47,1.89,Start charging.,Recharging.,review
48,3.01,Low battery. Returning to the dock.,Alert. Power levels low. Returning to the dock.,review
50,3.84,Charging error. Please clean charging contacts.,Alert. Charging malfunction. Clean the contacts. Obey.,review
52,5.07,Robot tilted. Please put it on a level ground to restart.,Alert. I am tilted. Place me on level ground. Restart. Obey.,review
54,3.41,Positioning succeeded. Resuming cleaning.,Positioning succeeded. Resuming cleaning.,review
55,4.25,Positioning succeeded. Resuming returning to the dock.,Positioning succeeded. Returning to the dock.,review
56,2.57,Start selected room cleaning.,Selected room cleaning. Commencing.,review
57,2.01,Start zoned cleaning.,Zoned cleaning. Commencing.,review
58,2.22,Proceed with cleaning task.,Proceeding. With cleaning.,review
61,1.94,Start mopping.,Mopping. Commencing.,review
