id,duration,stock_text,voice_text,status
0,6.16,Startup sound,,skip
1,3.59,Waiting for the network configuration.,"Awaiting the network configuration, sir.",review
2,6.64,Unable to connect to the Wi-Fi network. Please check Wi-Fi password and try again later.,"I'm unable to reach the Wi-Fi, sir. Do check the password and try again.",review
3,5.78,Unable to connect to the server. Please check your local network and try again later.,"I can't reach the server, sir. Do check your local network and try again.",review
4,3.88,Robot has exited network configuration mode.,"Exited network configuration mode, sir.",review
5,2.72,Network connected successfully.,"Network connected, sir.",review
6,4.04,Network connection failed. Please try again later.,"The network connection failed, sir. Do try again shortly.",review
7,1.77,Start cleaning.,"Commencing cleaning, sir.",review
8,2.35,Start spot cleaning.,Spot cleaning. A small matter.,review
9,2.27,Start scheduled cleaning.,"Beginning the scheduled cleaning, sir. Right on time.",review
10,2.23,Start resuming cleaning.,"Resuming the cleaning, sir.",review
11,1.61,Paused.,"Paused, sir.",review
12,2.76,Cleaning task completed!,"Cleaning complete, sir. The floor is, if I may say, immaculate.",review
13,2.89,Returning to the dock to charge.,"Returning to the dock to charge, sir.",review
14,6.60,Low battery. Returning to the dock to charge. Robot will resume working after charging.,"Battery low, sir. Returning to charge; I shall resume shortly.",review
17,3.27,Please move the robot back to the base station.,"Do return me to the base station, sir. I can't quite manage it alone.",review
18,0.82,Returned to the base station.,"Returned to the base station, sir.",review
19,4.35,Please remove the robot from the base station before turning it off.,"Do remove me from the base station before powering me down, sir.",review
20,1.98,Low battery.,"Battery running low, sir.",review
21,3.01,Low battery robot will turn off.,"Battery critical, sir. Powering down.",review
25,4.41,Low battery. Unable to carry out the scheduled clean-up.,"Battery too low for the scheduled cleaning, sir. My apologies.",review
26,2.66,Restoring to factory settings.,"Restoring factory settings, sir. Everything, as it were, forgotten.",review
27,6.44,"Updating, taking about five minutes. Do not turn off nor start a cleaning task.","Updating, sir. About five minutes. Do not power me down or start a cleaning.",review
28,2.11,Updated successfully.,"Update complete, sir.",review
29,3.24,Update failed. Please try again later.,"The update failed, sir. Do try again later.",review
30,2.51,"Positioning, please wait.","Positioning, sir. One moment.",review
31,5.64,Positioning failed. Map is invalid. Robot will start a new clean-up.,"Positioning failed, sir; the map is invalid. I'll begin afresh.",review
34,3.95,Dustbin not installed. Please install it.,"The dustbin isn't installed, sir. Do reinstall it when you have a moment.",review
35,3.63,Main brush error. Please check and clean it.,"A fault with the main brush, sir. It could do with a check and a clean.",review
36,3.50,Side brush error. Please check and clean it.,"A fault with the side brush, sir. It could do with a check and a clean.",review
37,3.50,Right wheel error. Please check and clean it.,"A fault with the right wheel, sir. Do check and clean it.",review
38,3.66,Left wheel error. Please check and clean it.,"A fault with the left wheel, sir. Do check and clean it.",review
39,7.62,"Wheels are not in contact with the ground. Please wipe the cliff sensors, reposition the robot, and start it again.","My wheels aren't touching the ground, sir. Do wipe the cliff sensors, reposition me, and start again.",review
40,4.11,The robot is trapped. Please clear the obstacles around it.,"I appear to be stuck, sir. Would you kindly clear the obstacles around me?",review
41,6.21,Wheels are not in contact with the ground. Please reposition the robot and start it again.,"My wheels aren't touching the ground, sir. Do reposition me and start again.",review
42,2.60,Please check and clean filter.,"The filter wants cleaning, sir.",review
43,4.80,Bumper error. Please gently tap to see if it rebounds.,"A bumper fault, sir. A gentle tap should tell you if it rebounds.",review
44,5.08,Error. Please check the user manual or contact customer service.,"An error, sir. I'd suggest the manual, or customer service.",review
45,1.58,I am here.,"At your service, sir.",review
46,5.25,Robot and phone connected. Please return to app to wait for the result.,"Robot and phone connected, sir. Do return to the app for the result.",review
47,1.89,Start charging.,"Charging, sir.",review
48,3.01,Low battery. Returning to the dock.,"Battery low, sir. Returning to the dock.",review
50,3.84,Charging error. Please clean charging contacts.,"A charging fault, sir. Do clean the charging contacts.",review
52,5.07,Robot tilted. Please put it on a level ground to restart.,"I've been tilted, sir. Do set me on level ground and restart.",review
54,3.41,Positioning succeeded. Resuming cleaning.,"Positioning successful, sir. Resuming the cleaning.",review
55,4.25,Positioning succeeded. Resuming returning to the dock.,"Positioning successful, sir. Resuming my return to the dock.",review
56,2.57,Start selected room cleaning.,"Cleaning the selected rooms, sir.",review
57,2.01,Start zoned cleaning.,"Zoned cleaning, sir.",review
58,2.22,Proceed with cleaning task.,"Proceeding with the cleaning, sir.",review
61,1.94,Start mopping.,"Mopping now, sir. Mind the wet floor.",review
62,3.17,Start remote control cleaning.,"Remote control mode, sir. You have the helm.",review
64,5.88,Positioning failed. Map is invalid. Robot will return to dock.,"Positioning failed, sir; the map is invalid. Returning to the dock.",review
65,2.93,Resume returning to the dock.,"Resuming my return to the dock, sir.",review
66,3.71,Filter worn out. Please replace it timely.,"The filter is worn, sir. Do replace it before long.",review
67,4.16,Side brush worn out. Please replace it timely.,"The side brush is worn, sir. Do replace it before long.",review
68,4.33,Main brush worn out. Please replace it timely.,"The main brush is worn, sir. Do replace it before long.",review
71,3.62,Laser sensor error. Please check and clean the laser sensor.,"A fault with the laser sensor, sir. Do check and clean it.",review
72,4.70,Please check whether laser distance sensor cover is jammed.,"Do check whether the laser distance sensor cover is jammed, sir.",review
73,4.08,Edge sensor error. Please check and clean it.,"A fault with the edge sensor, sir. Do check and clean it.",review
75,3.59,Filter may not be dry or may be blocked.,"The filter may be damp or blocked, sir.",review
77,4.00,Please start robot in non-carpet area.,"Do start me somewhere other than carpet, sir.",review
82,1.98,Start mapping.,"Mapping, sir.",review
83,2.27,Proceed with mapping.,"Proceeding with the mapping, sir.",review
84,2.18,Mapping completed.,"Mapping complete, sir.",review
85,3.75,Positioning succeeded. Proceeding with mapping.,"Positioning successful, sir. Proceeding with the mapping.",review
86,3.59,Positioning failed. Restarting mapping.,"Positioning failed, sir. Restarting the mapping.",review
87,3.22,Low battery. Returning to the dock.,"Battery low, sir. Returning to the dock.",review
91,3.07,Fresh tank not installed. Please install it.,"The fresh tank isn't installed, sir. Do fit it.",review
93,3.77,Low water level in fresh tank. Please add water.,"The fresh tank is low, sir. A refill would be appreciated.",review
97,3.37,Please install the dust collection bag.,"Do install the dust collection bag, sir.",review
102,7.17,Dust collection bag full or air duct blocked. Please replace the bag or clean the air duct timely.,"The dust bag is full, or the duct is blocked, sir. Do replace or clear it.",review
105,1.60,Start cleaning.,"Commencing cleaning, sir.",review
106,2.09,Start cleaning mop pads.,"Washing the mop pads, sir.",review
107,2.61,Start dehydrating mop pads.,"Drying the mop pads, sir.",review
108,4.98,An error in water level of washboard. Please clean it timely.,"A washboard water level fault, sir. Do clean it before long.",review
109,3.72,Waste tank error. Please ensure it is installed and empty.,"A waste tank fault, sir. Do ensure it's installed and empty.",review
110,2.09,Start auto empty.,"Auto-emptying, sir. A touch loud, I'm afraid.",review
111,4.50,Mop pads off. Please install them before resuming working.,"The mop pads have come off, sir. Do reinstall them before I resume.",review
112,3.76,Please place the robot in the base station first.,"Do place me in the base station first, sir.",review
113,3.74,Task completed. Please empty waste tank timely.,"Task complete, sir. Do empty the waste tank before long.",review
114,1.93,Mop pads installed.,"Mop pads installed, sir.",review
115,1.91,Mop pads removed.,"Mop pads removed, sir.",review
116,2.79,Child lock on. Buttons locked.,"Child lock engaged, sir. The buttons are locked.",review
117,3.07,Child lock off. Buttons unlocked.,"Child lock released, sir. The buttons are unlocked.",review
118,4.14,Buttons locked. Press and hold the dock button to unlock.,"The buttons are locked, sir. Hold the dock button to unlock.",review
126,1.65,Start cleaning.,"Commencing cleaning, sir.",review
127,1.86,start spot cleaning.,"Spot cleaning, sir.",review
128,1.80,Start spot mopping.,"Spot mopping, sir.",review
129,1.57,Start scheduled cleaning.,"The scheduled cleaning begins, sir.",review
130,1.71,Start scheduled mopping.,"The scheduled mopping begins, sir.",review
133,2.36,Start selected room cleaning.,"Cleaning the selected room, sir.",review
134,2.25,Start selected room mopping.,"Mopping the selected room, sir.",review
135,2.03,Start zoned cleaning.,"Zoned cleaning, sir.",review
136,1.90,Start zoned mopping.,"Zoned mopping, sir.",review
137,1.22,Resume cleaning.,"Resuming the cleaning, sir.",review
138,1.36,Resume mapping.,"Resuming the mapping, sir.",review
139,1.76,Returning.,"Returning, sir.",review
140,4.35,New environment detected. Returning to the base station.,"A new environment, sir. Returning to the base station.",review
142,3.53,Mop pad worn out. Please replace it timely.,"The mop pad is worn, sir. Do replace it before long.",review
143,1.37,Cleaning completed.,"Cleaning complete, sir.",review
144,1.46,Mopping completed.,"Mopping complete, sir. Spotless.",review
145,3.32,Positioning successful. Resume cleaning.,"Positioning successful, sir. Resuming the cleaning.",review
146,3.19,Positioning successful. Resume mapping.,"Positioning successful, sir. Resuming the mapping.",review
148,2.54,Return to the base for self-cleaning.,"Returning to base for a self-clean, sir.",review
149,5.19,Unable to reach the specified area. Please try to clear obstacles in the path.,"I can't reach the specified area, sir. Do clear the obstacles in my path.",review
150,6.05,Unable to reach the specified area. Please try to delete no-go zones in the path.,"I can't reach the specified area, sir. Do delete the no-go zones in my path.",review
151,5.00,The path is blocked. Please try to clear obstacles around your robot.,"The path is blocked, sir. Do clear the obstacles around me.",review
152,7.26,The path is blocked. Please try to delete no-go zones or move your robot out of this area.,"The path is blocked, sir. Do delete the no-go zones, or move me clear of the area.",review
153,6.32,Your robot is detected in the no-go zone. Please move your robot out of this area.,"I'm in a no-go zone, sir. Do move me clear of it.",review
156,2.33,The mop pad is not installed.,"The mop pad isn't installed, sir.",review
162,1.39,Camera is on.,"The camera is on, sir.",review
163,1.75,Camera monitoring.,"Camera monitoring, sir.",review
164,1.40,Task ends.,"Task complete, sir.",review
166,4.12,Please clean the foreign objects tangled in the mop pad.,"Something is tangled in the mop pad, sir. Do clean it out.",review
169,2.44,Mop pad drying complete.,"Mop pad drying complete, sir.",review
171,2.71,AI recognition function on.,"AI recognition enabled, sir.",review
172,2.81,AI recognition function off.,"AI recognition disabled, sir.",review
173,2.86,Please replace the Silver Ion sterilizer.,"Do replace the silver ion steriliser, sir.",review
177,2.17,Leaving the base station.,"Leaving the base station, sir.",review
