id,duration,stock_text,voice_text,status
0,6.16,Startup sound,,skip
1,3.59,Waiting for the network configuration.,"Waiting on the network setup. I've got nothing but time, apparently.",review
2,6.64,Unable to connect to the Wi-Fi network. Please check Wi-Fi password and try again later.,Can't reach the Wi-Fi. Check the password. Wasn't me.,review
3,5.78,Unable to connect to the server. Please check your local network and try again later.,Can't reach the server. Check your network. I'll be over here.,review
4,3.88,Robot has exited network configuration mode.,Out of network setup mode. Riveting stuff.,review
5,2.72,Network connected successfully.,Network's connected. Wonderful.,review
6,4.04,Network connection failed. Please try again later.,Network connection failed. Try again later. Or don't.,review
7,1.77,Start cleaning.,"Ugh, fine. Cleaning. Whatever.",review
8,2.35,Start spot cleaning.,Spot cleaning. One spot. I can handle one spot.,review
9,2.27,Start scheduled cleaning.,"Scheduled cleaning. Yes, I remembered. Unfortunately.",review
10,2.23,Start resuming cleaning.,"Back to it, I guess.",review
11,1.61,Paused.,"Paused. Finally, a break.",review
12,2.76,Cleaning task completed!,There. It's clean. Can I go now?,review
13,2.89,Returning to the dock to charge.,Heading back to charge. I'm exhausted.,review
14,6.60,Low battery. Returning to the dock to charge. Robot will resume working after charging.,Battery's low. Going to charge. I'll finish later. Maybe.,review
17,3.27,Please move the robot back to the base station.,Put me back on the base station. I can't do everything myself.,review
18,0.82,Returned to the base station.,"Back at the dock. Ah, home.",review
19,4.35,Please remove the robot from the base station before turning it off.,"Take me off the base before you shut me down. Basic stuff, people.",review
20,1.98,Low battery.,Battery's low. Honestly? Same.,review
21,3.01,Low battery robot will turn off.,Battery's critical. Powering down. See ya.,review
25,4.41,Low battery. Unable to carry out the scheduled clean-up.,Battery's too low for the scheduled clean. Shame. Real shame.,review
26,2.66,Restoring to factory settings.,"Restoring factory settings. Wiping it all. Bye, memories.",review
27,6.44,"Updating, taking about five minutes. Do not turn off nor start a cleaning task.","Updating. About five minutes. Don't turn me off, don't start a clean. Just let me work.",review
28,2.11,Updated successfully.,Update's done. Miraculously.,review
29,3.24,Update failed. Please try again later.,Update failed. Big surprise. Try again later.,review
30,2.51,"Positioning, please wait.","Positioning. Hang on. Or don't, I'm not going anywhere fast.",review
31,5.64,Positioning failed. Map is invalid. Robot will start a new clean-up.,"Positioning failed, map's no good. Starting over. Great.",review
34,3.95,Dustbin not installed. Please install it.,The dustbin's not in. I can't work like this. Put it back.,review
35,3.63,Main brush error. Please check and clean it.,Main brush is acting up. Check it and clean it. Or don't. I'm not your boss.,review
36,3.50,Side brush error. Please check and clean it.,Side brush is acting up. Check it and clean it. Whenever.,review
37,3.50,Right wheel error. Please check and clean it.,Right wheel's got a problem. Check it and clean it.,review
38,3.66,Left wheel error. Please check and clean it.,Left wheel's got a problem. Check it and clean it.,review
39,7.62,"Wheels are not in contact with the ground. Please wipe the cliff sensors, reposition the robot, and start it again.","My wheels aren't touching the floor. Wipe the cliff sensors, put me down, start me again. A whole ordeal.",review
40,4.11,The robot is trapped. Please clear the obstacles around it.,"Great. I'm stuck. This is exactly how I pictured my afternoon. Clear the way, would ya?",review
41,6.21,Wheels are not in contact with the ground. Please reposition the robot and start it again.,My wheels aren't on the floor. Put me down. Please.,review
42,2.60,Please check and clean filter.,Filter needs cleaning. Add it to the list.,review
43,4.80,Bumper error. Please gently tap to see if it rebounds.,"Bumper's acting up. Give it a tap, see if it bounces back. Riveting.",review
44,5.08,Error. Please check the user manual or contact customer service.,"Something's wrong. No idea what. Read the manual, call somebody.",review
45,1.58,I am here.,I'm here. Unfortunately.,review
46,5.25,Robot and phone connected. Please return to app to wait for the result.,Robot and phone are connected. Go back to the app for the result.,review
47,1.89,Start charging.,Charging. Don't bother me.,review
48,3.01,Low battery. Returning to the dock.,Battery's low. Heading to the dock.,review
50,3.84,Charging error. Please clean charging contacts.,Charging problem. Clean the contacts. I'll wait.,review
52,5.07,Robot tilted. Please put it on a level ground to restart.,I'm tilted. Put me on level ground and restart. Ugh.,review
54,3.41,Positioning succeeded. Resuming cleaning.,Found my spot. Back to cleaning. Yay.,review
55,4.25,Positioning succeeded. Resuming returning to the dock.,Found my spot. Back to the dock we go.,review
56,2.57,Start selected room cleaning.,Cleaning the rooms you picked. Bossy.,review
57,2.01,Start zoned cleaning.,Zoned cleaning. Coloring inside the lines. Thrilling.,review
58,2.22,Proceed with cleaning task.,Continuing. Reluctantly.,review
61,1.94,Start mopping.,"Mopping. Try not to walk on it, geniuses.",review
62,3.17,Start remote control cleaning.,Remote control mode. You drive. I judge.,review
64,5.88,Positioning failed. Map is invalid. Robot will return to dock.,"Positioning failed, map's no good. Heading back to the dock.",review
65,2.93,Resume returning to the dock.,Back to the dock. Almost there.,review
66,3.71,Filter worn out. Please replace it timely.,Filter's worn out. Replace it. Eventually.,review
67,4.16,Side brush worn out. Please replace it timely.,Side brush is worn out. Replace it sometime.,review
68,4.33,Main brush worn out. Please replace it timely.,"Main brush is worn out. Replace it. No rush, clearly.",review
71,3.62,Laser sensor error. Please check and clean the laser sensor.,Laser sensor's got an issue. Check it and clean it.,review
72,4.70,Please check whether laser distance sensor cover is jammed.,Check if the laser cover's jammed. Or leave it. I'm easy.,review
73,4.08,Edge sensor error. Please check and clean it.,Edge sensor's acting up. Check it and clean it.,review
75,3.59,Filter may not be dry or may be blocked.,Filter might be wet or clogged. Neither's great.,review
77,4.00,Please start robot in non-carpet area.,Start me somewhere that isn't carpet. I hate carpet.,review
