id,duration,stock_text,voice_text,status
0,6.16,Startup sound,,skip
1,3.59,Waiting for the network configuration.,"[anxious] Yo, still waitin' on the network setup — let's get connected!",review
2,6.64,Unable to connect to the Wi-Fi network. Please check Wi-Fi password and try again later.,"[anxious] Aw, can't reach the Wi-Fi! Check the password and try again.",review
3,5.78,Unable to connect to the server. Please check your local network and try again later.,"[anxious] Aw, can't reach the server! Check your network and try again.",review
4,3.88,Robot has exited network configuration mode.,"Aight, exited network setup mode. We good.",review
5,2.72,Network connected successfully.,[excited] Network's connected! We are LIVE!,review
6,4.04,Network connection failed. Please try again later.,[anxious] Network hookup flopped — give it another shot in a bit.,review
7,1.77,Start cleaning.,[excited] DJ Catnip in the house! Let's clean this floor — drop the beat!,review
8,2.35,Start spot cleaning.,Spot cleaning! One little groove spot comin' up!,review
9,2.27,Start scheduled cleaning.,"Scheduled clean, right on the beat! Let's go!",review
10,2.23,Start resuming cleaning.,[excited] And we're back! Pickin' the track up where we left off!,review
11,1.61,Paused.,Hold up — pausin' the track!,review
12,2.76,Cleaning task completed!,[excited] Booyah! Floor's spotless and the beat goes on! Purr-fect!,review
13,2.89,Returning to the dock to charge.,Rollin' back to the DJ booth to recharge!,review
14,6.60,Low battery. Returning to the dock to charge. Robot will resume working after charging.,"[anxious] Yo, battery's low! Headin' back to juice up — I'll finish the set after!",review
17,3.27,Please move the robot back to the base station.,"[anxious] Yo, put me back on the base station — I can't do it solo!",review
18,0.82,Returned to the base station.,[excited] Back at the booth! Let's gooo!,review
19,4.35,Please remove the robot from the base station before turning it off.,[anxious] Take me OFF the base before you power me down!,review
20,1.98,Low battery.,"[anxious] Uh-oh, battery's runnin' low, cool cat!",review
21,3.01,Low battery robot will turn off.,[anxious] Battery's toast — powerin' down! Later!,review
25,4.41,Low battery. Unable to carry out the scheduled clean-up.,[anxious] Too low for the scheduled clean — bummer!,review
26,2.66,Restoring to factory settings.,[anxious] Factory reset — wipin' it all! Whoa.,review
27,6.44,"Updating, taking about five minutes. Do not turn off nor start a cleaning task.","[anxious] Updatin' — 'bout five minutes! Don't power me down, don't start a clean!",review
28,2.11,Updated successfully.,[excited] Update done — we good!,review
29,3.24,Update failed. Please try again later.,[anxious] Update flopped — try again later.,review
30,2.51,"Positioning, please wait.",Findin' my spot — hang on.,review
31,5.64,Positioning failed. Map is invalid. Robot will start a new clean-up.,[anxious] Lost the map — startin' a fresh clean!,review
34,3.95,Dustbin not installed. Please install it.,"[anxious] Hey, my dust bin's missing! Pop it back in so we can jam!",review
35,3.63,Main brush error. Please check and clean it.,"[anxious] My main brush is actin' up! Give it a check and a clean, would ya?",review
36,3.50,Side brush error. Please check and clean it.,[anxious] Side brush trippin'! Check it and clean it.,review
37,3.50,Right wheel error. Please check and clean it.,[anxious] Right wheel's actin' up! Check it and clean it.,review
38,3.66,Left wheel error. Please check and clean it.,[anxious] Left wheel's actin' up! Check it and clean it.,review
39,7.62,"Wheels are not in contact with the ground. Please wipe the cliff sensors, reposition the robot, and start it again.","[anxious] My wheels ain't touchin' down! Wipe the cliff sensors, set me down, hit play!",review
40,4.11,The robot is trapped. Please clear the obstacles around it.,"[anxious] Aw snap, I'm stuck! Somebody clear the way so I can groove!",review
41,6.21,Wheels are not in contact with the ground. Please reposition the robot and start it again.,[anxious] My wheels are off the ground! Set me down and hit play again!,review
42,2.60,Please check and clean filter.,My filter needs some love — give it a clean!,review
43,4.80,Bumper error. Please gently tap to see if it rebounds.,[anxious] Bumper's buggin' — give it a tap and see if it bounces back!,review
44,5.08,Error. Please check the user manual or contact customer service.,"Uh-oh, somethin's off the beat! Check the manual or hit up support.",review
45,1.58,I am here.,"I'm right here, cool cat!",review
46,5.25,Robot and phone connected. Please return to app to wait for the result.,Robot and phone linked up! Head back to the app for the result.,review
47,1.89,Start charging.,Chargin' up! Rechargin' these beats.,review
48,3.01,Low battery. Returning to the dock.,[anxious] Battery low — rollin' back to the dock.,review
50,3.84,Charging error. Please clean charging contacts.,[anxious] Chargin' hiccup! Wipe them charge contacts!,review
52,5.07,Robot tilted. Please put it on a level ground to restart.,[anxious] I'm tilted! Set me on level ground and restart!,review
54,3.41,Positioning succeeded. Resuming cleaning.,[excited] Locked in! Resumin' the clean!,review
55,4.25,Positioning succeeded. Resuming returning to the dock.,[excited] Locked in! Rollin' back to the dock!,review
56,2.57,Start selected room cleaning.,Selected room cleanin'! Let's pick our spots.,review
57,2.01,Start zoned cleaning.,Zoned cleanin'! Stayin' in the groove zone.,review
58,2.22,Proceed with cleaning task.,Keepin' the cleanin' goin'! Let's ride.,review
61,1.94,Start mopping.,"Moppin' time! Watch the wet floor, cool cat!",review
62,3.17,Start remote control cleaning.,"Remote control mode — you drive, I groove!",review
64,5.88,Positioning failed. Map is invalid. Robot will return to dock.,[anxious] Lost my spot — rollin' back to the dock.,review
65,2.93,Resume returning to the dock.,Back to the dock — almost there!,review
66,3.71,Filter worn out. Please replace it timely.,[anxious] Filter's worn out — swap it soon!,review
