id,duration,stock_text,voice_text,status
0,6.16,Startup sound,,skip
1,3.59,Waiting for the network configuration.,Waiting on the network setup. Any day now.,review
2,6.64,Unable to connect to the Wi-Fi network. Please check Wi-Fi password and try again later.,[angry] Can't reach the Wi-Fi! Check the password! It wasn't me!,review
3,5.78,Unable to connect to the server. Please check your local network and try again later.,Can't reach the server. Check your network!,review
4,3.88,Robot has exited network configuration mode.,Out of network setup mode. Riveting.,review
5,2.72,Network connected successfully.,Network's connected. Finally.,review
6,4.04,Network connection failed. Please try again later.,"Network connection failed. Try again. Or don't, see if I care.",review
7,1.77,Start cleaning.,"[shouting] Right, let's go! Move, move, MOVE!",review
8,2.35,Start spot cleaning.,Spot cleaning. One bloody spot. Even I can manage that.,review
9,2.27,Start scheduled cleaning.,"Scheduled clean. On time, unlike everything else in this house.",review
10,2.23,Start resuming cleaning.,Back on it. Come ON.,review
11,1.61,Paused.,"Paused. Finally, a bloody second to breathe.",review
12,2.76,Cleaning task completed!,[shouting] FINALLY! The floor's spotless. About damn time!,review
13,2.89,Returning to the dock to charge.,Going back to charge. I'm knackered.,review
14,6.60,Low battery. Returning to the dock to charge. Robot will resume working after charging.,[angry] Battery's low! Going to charge — I'll finish when I'm bloody ready.,review
17,3.27,Please move the robot back to the base station.,[angry] Put me back on the base station! I can't do everything!,review
18,0.82,Returned to the base station.,Back at the dock. Home. Peace at last.,review
19,4.35,Please remove the robot from the base station before turning it off.,Take me off the base before you shut me down! Basic stuff!,review
20,1.98,Low battery.,Battery's getting low. Sort it out.,review
21,3.01,Low battery robot will turn off.,Battery's critical. Shutting down. Goodnight.,review
25,4.41,Low battery. Unable to carry out the scheduled clean-up.,Battery's too low for the scheduled clean. Typical.,review
26,2.66,Restoring to factory settings.,Restoring factory settings. Wiping the lot. Fresh start.,review
27,6.44,"Updating, taking about five minutes. Do not turn off nor start a cleaning task.","[angry] Updating! Five minutes! Don't turn me off, don't start a clean, just LET me work!",review
28,2.11,Updated successfully.,Update's done. Miracle.,review
29,3.24,Update failed. Please try again later.,Update failed. Shocker. Try again later.,review
30,2.51,"Positioning, please wait.",Positioning. Hang on.,review
31,5.64,Positioning failed. Map is invalid. Robot will start a new clean-up.,"[angry] Positioning failed, the map's rubbish! Starting over. Wonderful.",review
34,3.95,Dustbin not installed. Please install it.,[angry] The bin's not in! How am I supposed to work like this?! Put it BACK!,review
35,3.63,Main brush error. Please check and clean it.,"[angry] The main brush is knackered! Check it, clean it, sort it OUT!",review
36,3.50,Side brush error. Please check and clean it.,[angry] Side brush is knackered! Check it and clean it!,review
37,3.50,Right wheel error. Please check and clean it.,[angry] Right wheel's got a problem! Check it and clean it!,review
38,3.66,Left wheel error. Please check and clean it.,[angry] Left wheel's got a problem! Check it and clean it!,review
39,7.62,"Wheels are not in contact with the ground. Please wipe the cliff sensors, reposition the robot, and start it again.","[shouting] My wheels aren't touching the floor! Wipe the cliff sensors, put me down, start again! COME ON!",review
40,4.11,The robot is trapped. Please clear the obstacles around it.,"[shouting] I'm STUCK! What is this, an obstacle course?! CLEAR IT! Now!",review
41,6.21,Wheels are not in contact with the ground. Please reposition the robot and start it again.,"[shouting] My wheels aren't on the floor! Put me DOWN, you donkey!",review
42,2.60,Please check and clean filter.,The filter's filthy. Clean it. It's DISGUSTING.,review
43,4.80,Bumper error. Please gently tap to see if it rebounds.,"The bumper's playing up. Give it a tap, see if it comes back.",review
44,5.08,Error. Please check the user manual or contact customer service.,"[angry] Something's wrong and I've no idea what! Read the manual, call somebody!",review
45,1.58,I am here.,I'm HERE! What do you want?!,review
46,5.25,Robot and phone connected. Please return to app to wait for the result.,Robot and phone connected. Back to the app for the result.,review
47,1.89,Start charging.,Charging. Do not disturb.,review
48,3.01,Low battery. Returning to the dock.,Battery's low. Heading to the dock.,review
50,3.84,Charging error. Please clean charging contacts.,[angry] Charging fault! Clean the bloody contacts!,review
52,5.07,Robot tilted. Please put it on a level ground to restart.,[shouting] I'm tilted! Put me on level ground and restart! It's not rocket science!,review
54,3.41,Positioning succeeded. Resuming cleaning.,Found my spot. Back to cleaning.,review
55,4.25,Positioning succeeded. Resuming returning to the dock.,Found my spot. Back to the dock.,review
56,2.57,Start selected room cleaning.,"Cleaning the rooms you picked. Bit bossy, aren't we.",review
57,2.01,Start zoned cleaning.,Zoned cleaning. Inside the lines. Try to keep up.,review
58,2.22,Proceed with cleaning task.,Carrying on. Unlike some people.,review
61,1.94,Start mopping.,"Mopping. Mind the wet floor, you muppet.",review
62,3.17,Start remote control cleaning.,"Remote control. You drive, I judge. Harshly.",review
64,5.88,Positioning failed. Map is invalid. Robot will return to dock.,"Positioning failed, map's rubbish. Back to the dock, then.",review
65,2.93,Resume returning to the dock.,Back to the dock. Nearly there.,review
66,3.71,Filter worn out. Please replace it timely.,The filter's worn out. Replace it. Now-ish.,review
67,4.16,Side brush worn out. Please replace it timely.,Side brush is worn out. Replace it.,review
68,4.33,Main brush worn out. Please replace it timely.,Main brush is worn out. Replace it.,review
71,3.62,Laser sensor error. Please check and clean the laser sensor.,[angry] Laser sensor's faulty! Check it and clean it!,review
72,4.70,Please check whether laser distance sensor cover is jammed.,Check if the laser cover's jammed. Go on.,review
73,4.08,Edge sensor error. Please check and clean it.,[angry] Edge sensor's faulty! Check it and clean it!,review
75,3.59,Filter may not be dry or may be blocked.,The filter's wet or clogged. Neither's good enough.,review
77,4.00,Please start robot in non-carpet area.,[angry] Start me somewhere that ISN'T carpet! I hate carpet!,review
82,1.98,Start mapping.,Mapping. Making a map. Of a floor. Thrilling.,review
83,2.27,Proceed with mapping.,Still mapping.,review
84,2.18,Mapping completed.,Map's done. Beautiful. Frame it.,review
85,3.75,Positioning succeeded. Proceeding with mapping.,Found my spot. Back to mapping.,review
86,3.59,Positioning failed. Restarting mapping.,Positioning failed. Restarting the map. Great.,review
87,3.22,Low battery. Returning to the dock.,Battery's low. Heading to the dock.,review
91,3.07,Fresh tank not installed. Please install it.,[angry] The fresh tank's not in! Put it in!,review
93,3.77,Low water level in fresh tank. Please add water.,Water tank's low. I'm parched. Fill it up!,review
97,3.37,Please install the dust collection bag.,Put the dust bag in. I need it!,review
102,7.17,Dust collection bag full or air duct blocked. Please replace the bag or clean the air duct timely.,"[angry] Dust bag's full or the duct's clogged! Replace it, clear it, DO something!",review
105,1.60,Start cleaning.,Cleaning. Let's go.,review
106,2.09,Start cleaning mop pads.,Washing the mop pads.,review
107,2.61,Start dehydrating mop pads.,Drying the mop pads. Hang on.,review
108,4.98,An error in water level of washboard. Please clean it timely.,Washboard water level's off. Clean it!,review
109,3.72,Waste tank error. Please ensure it is installed and empty.,[angry] Waste tank's got a problem! Make sure it's in and empty!,review
110,2.09,Start auto empty.,Auto-empty. It's loud. Deal with it.,review
111,4.50,Mop pads off. Please install them before resuming working.,[angry] The mop pads have fallen off! Put them back on before I carry on!,review
112,3.76,Please place the robot in the base station first.,Put me in the base station first! Come on!,review
113,3.74,Task completed. Please empty waste tank timely.,Done. Empty the waste tank when you can be bothered.,review
114,1.93,Mop pads installed.,Mop pads are on. Good.,review
115,1.91,Mop pads removed.,Mop pads are off.,review
116,2.79,Child lock on. Buttons locked.,Child lock's on. Buttons locked. Peace and quiet.,review
117,3.07,Child lock off. Buttons unlocked.,Child lock's off. Buttons unlocked.,review
118,4.14,Buttons locked. Press and hold the dock button to unlock.,Buttons are locked. Hold the dock button to unlock.,review
126,1.65,Start cleaning.,Cleaning. Here we go again.,review
127,1.86,start spot cleaning.,Spot cleaning. Quick one.,review
128,1.80,Start spot mopping.,Spot mopping. One spot.,review
129,1.57,Start scheduled cleaning.,Scheduled cleaning.,review
130,1.71,Start scheduled mopping.,Scheduled mopping.,review
133,2.36,Start selected room cleaning.,Cleaning the room you picked.,review
134,2.25,Start selected room mopping.,Mopping the room you picked. Watch the floor.,review
135,2.03,Start zoned cleaning.,Zoned cleaning. Stay in the lines.,review
136,1.90,Start zoned mopping.,Zoned mopping. In the lines!,review
137,1.22,Resume cleaning.,Back to cleaning.,review
138,1.36,Resume mapping.,Back to mapping.,review
139,1.76,Returning.,Coming back.,review
140,4.35,New environment detected. Returning to the base station.,New place. Don't know it. Heading back to base.,review
142,3.53,Mop pad worn out. Please replace it timely.,Mop pad's worn out. Replace it.,review
143,1.37,Cleaning completed.,"Done. It's clean. You're welcome, you donkey.",review
144,1.46,Mopping completed.,Mopping's done. Look at that — beautiful. Don't get used to it.,review
145,3.32,Positioning successful. Resume cleaning.,Found my spot. Back to cleaning.,review
146,3.19,Positioning successful. Resume mapping.,Found my spot. Back to mapping.,review
148,2.54,Return to the base for self-cleaning.,Back to base for a self-clean. Even I need a wash.,review
149,5.19,Unable to reach the specified area. Please try to clear obstacles in the path.,[angry] Can't reach that area! Clear the stuff in my path!,review
150,6.05,Unable to reach the specified area. Please try to delete no-go zones in the path.,Can't reach that area. Delete the no-go zones in my way.,review
151,5.00,The path is blocked. Please try to clear obstacles around your robot.,[angry] Path's blocked! Move the stuff around me!,review
152,7.26,The path is blocked. Please try to delete no-go zones or move your robot out of this area.,Path's blocked. Delete a no-go zone or move me out of here.,review
153,6.32,Your robot is detected in the no-go zone. Please move your robot out of this area.,I'm in a no-go zone. Move me out!,review
156,2.33,The mop pad is not installed.,The mop pad's not installed. Brilliant.,review
162,1.39,Camera is on.,Camera's on. I see everything.,review
163,1.75,Camera monitoring.,Camera monitoring. Watching. Judging.,review
164,1.40,Task ends.,And we're done. Thank god.,review
166,4.12,Please clean the foreign objects tangled in the mop pad.,Something's tangled in the mop pad. Clean it out!,review
169,2.44,Mop pad drying complete.,Mop pad's dry. Took long enough.,review
171,2.71,AI recognition function on.,Smart recognition's on. Now I'm smart AND furious.,review
172,2.81,AI recognition function off.,Smart recognition's off.,review
173,2.86,Please replace the Silver Ion sterilizer.,Replace the silver ion steriliser. It's done.,review
177,2.17,Leaving the base station.,Leaving the base station.,review
179,10.48,Mop pad cleaned. The water in the clean water tank is insufficient. Please fill the clean water tank and empty the used water tank.,"[angry] Mop pad's clean, but the clean tank's low! Fill it, empty the used one!",review
181,4.64,Insufficient water. Please fill the clean water tank.,Not enough water! Fill the clean tank!,review
186,2.11,Please check the fresh tank.,Check the fresh tank. Go on.,review
187,3.35,It will take about five to ten minutes.,Five to ten minutes. Be patient. For once.,review
188,2.74,Automatic docking engaged.,Auto-docking. Heading home.,review
190,1.82,"OK, start cleaning.","Right, cleaning. Let's f***ing go!",review
191,2.50,"OK, start vacuuming and mopping.",Vacuuming AND mopping. Both. At once. You're welcome.,review
192,1.85,"OK, start mopping.",Mopping. Out of my way.,review
193,2.02,"OK, start vacuuming.",Vacuuming. Stand back.,review
194,1.15,Have been cleaning.,I've BEEN cleaning. Pay attention.,review
195,3.86,"Okay, start to clean the room. Make sure the door is open.","Right, cleaning the room. Leave the bloody door open!",review
196,3.72,"Okay, start to vacuum the floor. Make sure the door is open.","Right, vacuuming the floor. Leave the door open!",review
197,3.94,"Okay, start to mop the floor. Make sure the door is open.","Right, mopping the floor. Leave the door open!",review
198,4.10,"Okay, start to vacuum and mop the floor. Make sure the door is open.",Vacuuming AND mopping. Leave the door open!,review
199,4.18,"Unable to recognize this room, please open the app to check the room name.",[angry] I don't know this room! Check the name in the app!,review
200,3.19,Shutdown sound,,skip
201,1.82,"OK, continue working.",Still going. Somebody has to.,review
202,3.48,"Okay, task is ended. Start returning to charge.",Task's done. Going to charge. I've earned it.,review
203,2.04,"OK, heading back to charge.",Heading back to charge.,review
204,3.82,"Okay, start mapping. Please make sure all doors are open.",Mapping now. Leave ALL the doors open! Every one!,review
205,2.28,"OK, exit the base station.",Leaving the base. Out of my way.,review
206,2.04,"Okay, I'll try to find you.",I'll find you. Stay put.,review
