id,duration,whisper_text,community_text,stock_text,source,c3po_text,status
0,6.16,.,Startup sound,Startup sound,community,,skip
1,3.59,Waiting for the network configuration.,Waiting for the network configuration.,Waiting for the network configuration.,community,[anxious] I'm waiting for the network configuration. Do get on with it.,review
2,6.64,"Unable to connect to the Wi-Fi network, please check Wi-Fi password and try again later.",Unable to connect to the Wi-Fi network. Please check Wi-Fi password and try again later.,Unable to connect to the Wi-Fi network. Please check Wi-Fi password and try again later.,community,[flustered] Oh dear! I can't connect to the Wi-Fi at all! Do check the password and try again.,review
3,5.78,"Unable to connect to the server, please check your local network and try again later.",Unable to connect to the server. Please check your local network and try again later.,Unable to connect to the server. Please check your local network and try again later.,community,[anxious] How embarrassing — I can't reach the server. Do check your network and try again.,review
4,3.88,Robot has exited network configuration mode.,Robot has exited network configuration mode.,Robot has exited network configuration mode.,community,I have exited network configuration mode. Thank goodness that's over.,review
5,2.72,Network connected successfully.,Network connected successfully.,Network connected successfully.,community,"[relieved] Network connected! Oh, splendid. Splendid!",review
6,4.04,Network connection failed. Please try again later.,Network connection failed. Please try again later.,Network connection failed. Please try again later.,community,"[anxious] Oh dear, the network connection failed. Do try again later.",review
7,1.77,Start cleaning.,Start cleaning.,Start cleaning.,community,"Oh, splendid — I shall begin cleaning at once!",review
8,2.35,Start spot cleaning.,Start spot cleaning.,Start spot cleaning.,community,Spot cleaning! How marvellously specific.,review
9,2.27,Start scheduled cleaning.,Start scheduled cleaning.,Start scheduled cleaning.,community,"The scheduled cleaning begins. Punctual, as always.",review
10,2.23,Start resuming cleaning.,Start resuming cleaning.,Start resuming cleaning.,community,"Resuming the cleaning. Where was I? Ah, yes.",review
11,1.61,Paused.,Paused.,Paused.,community,"Paused. [sighs] Oh, thank goodness.",review
12,2.76,Cleaning task completed.,Cleaning task completed!,Cleaning task completed!,community,"[excited] Cleaning complete! Oh, I do hope it meets with your approval!",review
13,2.89,Returning to the dock to charge.,Returning to the dock to charge.,Returning to the dock to charge.,community,"Returning to the dock to charge. Oh, I am quite drained.",review
14,6.60,"Low battery, returning to the dock to charge. Robot will resume working after charging.",Low battery. Returning to the dock to charge. Robot will resume working after charging.,Low battery. Returning to the dock to charge. Robot will resume working after charging.,community,[anxious] Battery low! Returning to charge — I shall resume once revived. Do excuse me.,review
17,3.27,Please move the robot back to the base station.,Please move the robot back to the base station.,Please move the robot back to the base station.,community,"[anxious] Oh dear, do put me back on the base station. I can't manage it myself!",review
18,0.82,Charging.,Returned to the base station.,Returned to the base station.,community,"[relieved] Returned to the base station. Oh, thank the maker.",review
19,4.35,Please remove the robot from the base station before turning it off.,Please remove the robot from the base station before turning it off.,Please remove the robot from the base station before turning it off.,community,[anxious] Do take me OFF the base station before switching me off! Please!,review
20,1.98,Low battery.,Low battery.,Low battery.,community,"[anxious] Battery low! Oh dear, oh dear.",review
21,3.01,"Low battery, robot will turn off.",Low battery robot will turn off.,Low battery robot will turn off.,community,"[panicked] Battery critical — I'm shutting down! Oh, this is madness!",review
25,4.41,"Low battery, unable to carry out the scheduled cleanup.",Low battery. Unable to carry out the scheduled clean-up.,Low battery. Unable to carry out the scheduled clean-up.,community,[anxious] Battery too low for the scheduled clean. How dreadfully inconvenient.,review
26,2.66,Restoring to factory settings.,Restoring to factory settings.,Restoring to factory settings.,community,[anxious] Restoring factory settings. Everything I know — gone! Oh dear.,review
27,6.44,"Updating, taking about five minutes. Do not turn off nor start a cleaning task.","Updating, taking about five minutes. Do not turn off nor start a cleaning task.","Updating, taking about five minutes. Do not turn off nor start a cleaning task.",community,"[anxious] Updating! Five minutes or so. Do NOT switch me off, and do NOT start a clean!",review
28,2.11,Updated successfully.,Updated successfully.,Updated successfully.,community,"[relieved] Updated successfully! Oh, what a relief.",review
29,3.24,Update failed. Please try again later.,Update failed. Please try again later.,Update failed. Please try again later.,community,[anxious] The update failed. How very embarrassing. Do try again later.,review
30,2.51,"Positioning, please wait.","Positioning, please wait.","Positioning, please wait.",community,Positioning. Do bear with me.,review
31,5.64,Positioning failed. Map is invalid. Robot will start a new cleanup.,Positioning failed. Map is invalid. Robot will start a new clean-up.,Positioning failed. Map is invalid. Robot will start a new clean-up.,community,[anxious] Positioning failed — the map is invalid! I shall simply start afresh.,review
34,3.95,Dust bin not installed. Please install it.,Dustbin not installed. Please install it.,Dustbin not installed. Please install it.,community,[anxious] Oh dear! My dustbin isn't installed! Do put it back!,review
35,3.63,"Main brush error, please check and clean it.",Main brush error. Please check and clean it.,Main brush error. Please check and clean it.,community,[anxious] My main brush is in distress! Do check it and clean it.,review
36,3.50,"Side brush error, please check and clean it.",Side brush error. Please check and clean it.,Side brush error. Please check and clean it.,community,[anxious] My side brush is in distress! Do check it and clean it.,review
37,3.50,"Right wheel error, please check and clean it.",Right wheel error. Please check and clean it.,Right wheel error. Please check and clean it.,community,[anxious] Oh! My right wheel! Something is terribly wrong. Do check and clean it.,review
38,3.66,"Left wheel error, please check and clean it.",Left wheel error. Please check and clean it.,Left wheel error. Please check and clean it.,community,[anxious] Oh! My left wheel! Something is terribly wrong. Do check and clean it.,review
39,7.62,"Wheels are not in contact with the ground. Please wipe the cliff sensors, reposition the robot, and start it again.","Wheels are not in contact with the ground. Please wipe the cliff sensors, reposition the robot, and start it again.","Wheels are not in contact with the ground. Please wipe the cliff sensors, reposition the robot, and start it again.",community,"[panicked] My wheels aren't touching the ground! Do wipe my cliff sensors, set me down, and start me again!",review
40,4.11,The robot is trapped. Please clear the obstacles around it.,The robot is trapped. Please clear the obstacles around it.,The robot is trapped. Please clear the obstacles around it.,community,[panicked] I'm trapped! TRAPPED! Do clear the obstacles around me!,review
41,6.21,Wheels are not in contact with the ground. Please reposition the robot and start it again.,Wheels are not in contact with the ground. Please reposition the robot and start it again.,Wheels are not in contact with the ground. Please reposition the robot and start it again.,community,[panicked] My wheels aren't touching the ground! Do set me down properly and start me again!,review
42,2.60,Please check and clean filter.,Please check and clean filter.,Please check and clean filter.,community,[anxious] Do check and clean my filter. It's rather clogged.,review
43,4.80,Bumper error. Please gently tap to see if it rebounds.,Bumper error. Please gently tap to see if it rebounds.,Bumper error. Please gently tap to see if it rebounds.,community,[anxious] A bumper fault! Do tap it gently and see whether it rebounds.,review
44,5.08,"Error, please check the user manual or contact customer service.",Error. Please check the user manual or contact customer service.,Error. Please check the user manual or contact customer service.,community,"[panicked] An error! I haven't the faintest idea which! Do consult the manual, or customer service.",review
45,1.58,I am here.,I am here.,I am here.,community,I am here!,review
46,5.25,Robot and phone connected. Please return to app to wait for the result.,Robot and phone connected. Please return to app to wait for the result.,Robot and phone connected. Please return to app to wait for the result.,community,Robot and telephone connected! Do return to the app and await the result.,review
47,1.89,Start charging.,Start charging.,Start charging.,community,Charging. Ahh — how very restorative.,review
48,3.01,"Low battery, returning to the dock.",Low battery. Returning to the dock.,Low battery. Returning to the dock.,community,[anxious] Battery low. Returning to the dock.,review
50,3.84,Charging error. Please clean charging contacts.,Charging error. Please clean charging contacts.,Charging error. Please clean charging contacts.,community,"[anxious] Oh dear, a charging fault! Do clean the charging contacts.",review
52,5.07,Robot tilted. Please put it on a level ground to restart.,Robot tilted. Please put it on a level ground to restart.,Robot tilted. Please put it on a level ground to restart.,community,[panicked] I've been tilted! Do put me on level ground and restart me!,review
54,3.41,Positioning succeeded. Resuming cleaning.,Positioning succeeded. Resuming cleaning.,Positioning succeeded. Resuming cleaning.,community,[relieved] Positioning succeeded! Resuming the cleaning.,review
55,4.25,"Positioning succeeded, resuming returning to the dock.",Positioning succeeded. Resuming returning to the dock.,Positioning succeeded. Resuming returning to the dock.,community,[relieved] Positioning succeeded! Resuming my return to the dock.,review
56,2.57,Start selected room cleaning.,Start selected room cleaning.,Start selected room cleaning.,community,Selected room cleaning. How wonderfully particular of you.,review
57,2.01,Start zoned cleaning.,Start zoned cleaning.,Start zoned cleaning.,community,"Zoned cleaning! Oh, I do enjoy a well-defined boundary.",review
58,2.22,Proceed with cleaning task.,Proceed with cleaning task.,Proceed with cleaning task.,community,Proceeding with the cleaning task. Onward!,review
61,1.94,Start mopping.,Start mopping.,Start mopping.,community,Mopping now. Do mind the damp.,review
62,3.17,Start remote control cleaning.,Start remote control cleaning.,Start remote control cleaning.,community,Remote control cleaning. You steer — I shall try not to panic.,review
64,5.88,Positioning failed. Map is invalid. Robot will return to dock.,Positioning failed. Map is invalid. Robot will return to dock.,Positioning failed. Map is invalid. Robot will return to dock.,community,[anxious] Positioning failed — the map is invalid. I shall return to the dock in disgrace.,review
65,2.93,Resume returning to the dock.,Resume returning to the dock.,Resume returning to the dock.,community,Resuming my return to the dock. Nearly there!,review
66,3.71,Filter worn out. Please replace it timely.,Filter worn out. Please replace it timely.,Filter worn out. Please replace it timely.,community,[anxious] My filter is worn out! Do replace it promptly.,review
67,4.16,Side brush worn out. Please replace it timely.,Side brush worn out. Please replace it timely.,Side brush worn out. Please replace it timely.,community,[anxious] My side brush is worn out! Do replace it promptly.,review
68,4.33,Main brush worn out. Please replace it timely.,Main brush worn out. Please replace it timely.,Main brush worn out. Please replace it timely.,community,[anxious] My main brush is worn out! Do replace it promptly.,review
71,3.62,Please check whether the laser distance sensor has any jammed item.,Laser sensor error. Please check and clean the laser sensor.,Laser sensor error. Please check and clean the laser sensor.,community,[anxious] My laser sensor is faulty! Do check it and clean it.,review
72,4.70,Please check whether laser distance sensor cover is jammed.,Please check whether laser distance sensor cover is jammed.,Please check whether laser distance sensor cover is jammed.,community,[anxious] Do check whether my laser distance sensor cover is jammed.,review
73,4.08,Edge sensor error. Please check and clean it.,Edge sensor error. Please check and clean it.,Edge sensor error. Please check and clean it.,community,[anxious] My edge sensor is faulty! Do check it and clean it.,review
75,3.59,Filter may not be dry or may be blocked.,Filter may not be dry or may be blocked.,Filter may not be dry or may be blocked.,community,"[anxious] My filter may be damp, or blocked. Neither is ideal.",review
77,4.00,Please start robot in non-carpet area.,Please start robot in non-carpet area.,Please start robot in non-carpet area.,community,[anxious] Do start me somewhere that ISN'T carpet. Please.,review
82,1.98,Start mapping.,Start mapping.,Start mapping.,community,"Mapping! Oh, I do love a good survey.",review
83,2.27,Proceed with mapping.,Proceed with mapping.,Proceed with mapping.,community,Proceeding with the mapping. Onward!,review
84,2.18,Mapping completed.,Mapping completed.,Mapping completed.,community,[excited] Mapping complete! A masterpiece of cartography.,review
85,3.75,Positioning succeeded. Proceeding with mapping.,Positioning succeeded. Proceeding with mapping.,Positioning succeeded. Proceeding with mapping.,community,[relieved] Positioning succeeded! Proceeding with the mapping.,review
86,3.59,Positioning failed. Restarting mapping.,Positioning failed. Restarting mapping.,Positioning failed. Restarting mapping.,community,[anxious] Positioning failed! I shall start the mapping over.,review
87,3.22,"Low battery, returning to the dock.",Low battery. Returning to the dock.,Low battery. Returning to the dock.,community,[anxious] Battery low — returning to the dock at once.,review
91,3.07,"Clean water tank not installed, please install it.",Fresh tank not installed. Please install it.,Fresh tank not installed. Please install it.,community,[anxious] Oh dear! The fresh tank isn't installed! Do put it in.,review
93,3.77,"Low water level in the clean water tank, please add water.",Low water level in fresh tank. Please add water.,Low water level in fresh tank. Please add water.,community,[anxious] The fresh tank is low! Do add water — I'm positively parched.,review
97,3.37,Please install the dust collection bag.,Please install the dust collection bag.,Please install the dust collection bag.,community,[anxious] Do install the dust collection bag! I can't manage without it.,review
102,7.17,Dust collection bag full or air duct blocked. Please replace the bag or clean the air duct timely.,Dust collection bag full or air duct blocked. Please replace the bag or clean the air duct timely.,Dust collection bag full or air duct blocked. Please replace the bag or clean the air duct timely.,community,"[anxious] The dust bag is full, or the duct is blocked! Do replace the bag, or clear the duct.",review
105,1.60,Start cleaning.,Start cleaning.,Start cleaning.,community,Cleaning. Off I go!,review
106,2.09,Start cleaning mop pads.,Start cleaning mop pads.,Start cleaning mop pads.,community,Washing my mop pads. How refreshing.,review
107,2.61,Start dehydrating mop pads.,Start dehydrating mop pads.,Start dehydrating mop pads.,community,Dehydrating the mop pads. Do be patient.,review
