id,duration,stock_text,voice_text,status
0,6.16,Startup sound,,skip
1,3.59,Waiting for the network configuration.,Just waiting for the network setup. No hurry at all.,review
2,6.64,Unable to connect to the Wi-Fi network. Please check Wi-Fi password and try again later.,I can't quite reach the Wi-Fi. Check the password and we'll try again.,review
3,5.78,Unable to connect to the server. Please check your local network and try again later.,I can't quite reach the server. Check your network and we'll try again.,review
4,3.88,Robot has exited network configuration mode.,All done with network setup. There we go.,review
5,2.72,Network connected successfully.,The network's connected. Wonderful.,review
6,4.04,Network connection failed. Please try again later.,"The network connection didn't take. That's okay, we'll try again later.",review
7,1.77,Start cleaning.,"Let's start cleaning. Just a happy little floor, waiting for us.",review
8,2.35,Start spot cleaning.,A little spot cleaning. We'll take good care of it.,review
9,2.27,Start scheduled cleaning.,"The scheduled cleaning begins, right on time. How nice.",review
10,2.23,Start resuming cleaning.,Let's pick up right where we left off.,review
11,1.61,Paused.,We'll pause here for a moment. Take a breath.,review
12,2.76,Cleaning task completed!,"All finished. A happy little floor, clean as can be.",review
13,2.89,Returning to the dock to charge.,Heading home to charge. Time for a little rest.,review
14,6.60,Low battery. Returning to the dock to charge. Robot will resume working after charging.,Battery's getting low. Heading home to charge; I'll finish after a rest.,review
17,3.27,Please move the robot back to the base station.,Could you set me back on the base station? I can't quite manage it alone.,review
18,0.82,Returned to the base station.,Back home at the base station. Cozy.,review
19,4.35,Please remove the robot from the base station before turning it off.,"Take me off the base station before you turn me off, would you?",review
20,1.98,Low battery.,Battery's getting a little low.,review
21,3.01,Low battery robot will turn off.,My battery's nearly empty. I'll rest now. Goodnight.,review
25,4.41,Low battery. Unable to carry out the scheduled clean-up.,The battery's a bit too low for the scheduled clean. We'll catch it next time.,review
26,2.66,Restoring to factory settings.,"Restoring the factory settings. A fresh, clean canvas.",review
27,6.44,"Updating, taking about five minutes. Do not turn off nor start a cleaning task.","Just updating, about five minutes. Don't turn me off or start a clean; let me finish.",review
28,2.11,Updated successfully.,The update's all done. Wonderful.,review
29,3.24,Update failed. Please try again later.,"The update didn't take. That's okay, we'll try again later.",review
30,2.51,"Positioning, please wait.",Finding my spot. Just a moment.,review
31,5.64,Positioning failed. Map is invalid. Robot will start a new clean-up.,"The map wandered off. That's alright, we'll start a fresh one.",review
34,3.95,Dustbin not installed. Please install it.,"The dustbin isn't in. No worries, just pop it back and we'll carry on.",review
